number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_feed_forward_size,params_hidden_size,params_lr,params_num_blocks,params_num_heads,state
34,-1.2126387386611013,2024-05-10 02:44:54.534585,2024-05-10 02:46:21.300879,0 days 00:01:26.766294,64,0.2,512,64,0.005510457857657906,2,4,COMPLETE
35,-1.1972414482207525,2024-05-10 02:46:21.301593,2024-05-10 02:48:12.928089,0 days 00:01:51.626496,256,0.30000000000000004,64,128,2.5425220240962198e-05,3,8,COMPLETE
36,-1.2493726866585868,2024-05-10 02:48:12.928794,2024-05-10 02:48:33.760484,0 days 00:00:20.831690,256,0.2,128,32,0.009788537651668318,1,4,COMPLETE
37,-1.2503444758328524,2024-05-10 02:48:33.761119,2024-05-10 02:54:17.273366,0 days 00:05:43.512247,64,0.1,512,64,0.00016521222292065167,4,8,COMPLETE
38,-1.2413626650729812,2024-05-10 02:54:17.274281,2024-05-10 02:55:57.467702,0 days 00:01:40.193421,128,0.30000000000000004,256,24,0.003075280313922923,2,2,COMPLETE
39,-1.2442140891438438,2024-05-10 02:55:57.468568,2024-05-10 02:57:00.132821,0 days 00:01:02.664253,256,0.2,64,32,0.00011451548101886169,4,8,COMPLETE
40,-1.2465142524351103,2024-05-10 02:57:00.133737,2024-05-10 03:02:01.791928,0 days 00:05:01.658191,32,0.4,128,128,0.0006063009101815187,2,1,COMPLETE
41,-1.2523676667894637,2024-05-10 03:02:01.792980,2024-05-10 03:03:52.563409,0 days 00:01:50.770429,256,0.1,64,128,0.0031238501080710994,4,8,COMPLETE
42,-1.232046467917306,2024-05-10 03:03:52.564137,2024-05-10 03:05:18.077447,0 days 00:01:25.513310,256,0.1,64,128,0.004589366379963926,4,8,COMPLETE
43,-1.2462905872435797,2024-05-10 03:05:18.078199,2024-05-10 03:08:30.429527,0 days 00:03:12.351328,256,0.1,64,128,0.0018431916871911294,4,8,COMPLETE
44,-1.2391663647833324,2024-05-10 03:08:30.430269,2024-05-10 03:10:34.423329,0 days 00:02:03.993060,256,0.1,64,128,0.0009938375368119074,4,8,COMPLETE
45,-1.2446380311792546,2024-05-10 03:10:34.424006,2024-05-10 03:13:39.666522,0 days 00:03:05.242516,64,0.1,64,128,0.0024980197364873487,3,8,COMPLETE
46,-1.2151047927992684,2024-05-10 03:13:39.667398,2024-05-10 03:15:07.346130,0 days 00:01:27.678732,256,0.2,512,256,0.0035846112699102735,2,8,COMPLETE
47,-1.2425109666169234,2024-05-10 03:15:07.346850,2024-05-10 03:19:49.110446,0 days 00:04:41.763596,32,0.30000000000000004,256,32,0.007376183590656309,3,4,COMPLETE
48,-1.1672361975624448,2024-05-10 03:19:49.111489,2024-05-10 03:22:39.485349,0 days 00:02:50.373860,256,0.30000000000000004,128,128,0.005894305947725442,4,8,COMPLETE
49,-1.2333128736132668,2024-05-10 03:22:39.486325,2024-05-10 03:22:52.470151,0 days 00:00:12.983826,256,0.2,64,24,0.00046562050992239026,1,2,COMPLETE
50,-1.2451699457632373,2024-05-10 03:22:52.470770,2024-05-10 03:28:26.898548,0 days 00:05:34.427778,32,0.1,512,64,0.0017465469722391202,3,8,COMPLETE
51,-1.247060701960609,2024-05-10 03:28:26.899538,2024-05-10 03:31:10.056182,0 days 00:02:43.156644,256,0.1,64,128,0.00297672530429782,4,8,COMPLETE
52,-1.2434944056329273,2024-05-10 03:31:10.056833,2024-05-10 03:35:02.233140,0 days 00:03:52.176307,256,0.1,64,128,0.0032675456937050124,4,8,COMPLETE
53,-1.2511901231039138,2024-05-10 03:35:02.233829,2024-05-10 03:37:58.857123,0 days 00:02:56.623294,256,0.1,64,128,0.002521608827210641,4,8,COMPLETE
54,-1.242639320237296,2024-05-10 03:37:58.858076,2024-05-10 03:39:46.774269,0 days 00:01:47.916193,256,0.1,64,128,0.004839749291783941,4,8,COMPLETE
55,-1.2623564090047563,2024-05-10 03:39:46.775206,2024-05-10 03:41:24.215585,0 days 00:01:37.440379,256,0.30000000000000004,64,32,0.007363440836098896,2,8,COMPLETE
56,-1.253915982586997,2024-05-10 03:41:24.216462,2024-05-10 03:42:27.051386,0 days 00:01:02.834924,256,0.30000000000000004,128,32,0.007437817659606307,2,1,COMPLETE
57,-1.2272760373173337,2024-05-10 03:42:27.052051,2024-05-10 03:43:17.064400,0 days 00:00:50.012349,64,0.30000000000000004,64,32,0.00020165679593432014,2,8,COMPLETE
58,-1.2432059365582753,2024-05-10 03:43:17.065316,2024-05-10 03:46:07.352536,0 days 00:02:50.287220,128,0.30000000000000004,512,32,0.00860848392923027,2,8,COMPLETE
59,-1.2189347615357953,2024-05-10 03:46:07.353418,2024-05-10 03:49:59.176620,0 days 00:03:51.823202,32,0.30000000000000004,256,32,7.292818496365411e-05,2,8,COMPLETE
60,-1.2442076206207275,2024-05-10 03:49:59.177555,2024-05-10 03:51:31.658951,0 days 00:01:32.481396,256,0.4,64,32,0.003997035956400694,1,8,COMPLETE
61,-1.2364279173669361,2024-05-10 03:51:31.659640,2024-05-10 03:52:01.298661,0 days 00:00:29.639021,256,0.30000000000000004,128,32,0.007043244463877846,2,1,COMPLETE
62,-1.2551976215271723,2024-05-10 03:52:01.299312,2024-05-10 03:53:07.200240,0 days 00:01:05.900928,256,0.30000000000000004,128,32,0.0055380993956443796,2,1,COMPLETE
