number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_ff_size,params_lr,params_nhead,params_nlayers,state
34,0.4022016263611285,2024-06-22 14:25:07.952792,2024-06-22 14:25:51.603610,0 days 00:00:43.650818,256,64,128,0.4,64,0.00010162285487720903,2,2,COMPLETE
35,0.33088671188666813,2024-06-22 14:25:51.604873,2024-06-22 14:30:19.658992,0 days 00:04:28.054119,64,256,128,0.5,256,0.001355345129458281,2,3,COMPLETE
36,0.4889240480099945,2024-06-22 14:30:19.660540,2024-06-22 14:33:36.585784,0 days 00:03:16.925244,32,32,32,0.4,128,0.00043241530732038367,2,2,COMPLETE
37,,2024-06-22 14:33:36.587125,2024-06-22 14:38:08.428065,0 days 00:04:31.840940,64,64,128,0.5,64,0.009703387502026269,2,3,FAIL
38,0.4859818542682896,2024-06-22 14:38:08.429024,2024-06-22 14:40:10.011546,0 days 00:02:01.582522,64,64,128,0.5,64,6.81722934629952e-05,2,3,COMPLETE
39,-0.11919383164578333,2024-06-22 14:40:10.012914,2024-06-22 14:40:47.631400,0 days 00:00:37.618486,256,256,32,0.4,64,0.003256593068364046,2,3,COMPLETE
40,0.45872870675080335,2024-06-22 14:40:47.633546,2024-06-22 14:43:33.880206,0 days 00:02:46.246660,64,32,128,0.5,256,0.0002514445217346653,4,2,COMPLETE
41,,2024-06-22 14:43:33.881604,2024-06-22 14:49:21.057795,0 days 00:05:47.176191,32,256,128,0.4,128,0.008790816412404338,8,2,FAIL
42,,2024-06-22 14:49:21.058902,2024-06-22 14:54:14.102354,0 days 00:04:53.043452,32,256,128,0.4,128,0.00920655245070142,8,2,FAIL
43,0.21410198913262177,2024-06-22 14:54:14.103344,2024-06-22 14:58:28.011140,0 days 00:04:13.907796,32,256,128,0.4,128,4.070320827351386e-06,8,2,COMPLETE
44,-0.2610721869376641,2024-06-22 14:58:28.012518,2024-06-22 15:03:34.862529,0 days 00:05:06.850011,32,32,32,0.4,128,1.0238717315841149e-06,2,2,COMPLETE
45,0.4814099478806758,2024-06-22 15:03:34.864124,2024-06-22 15:05:59.764995,0 days 00:02:24.900871,32,32,32,0.4,128,0.0005823106010065697,2,2,COMPLETE
46,0.493921002644762,2024-06-22 15:05:59.774278,2024-06-22 15:12:23.166263,0 days 00:06:23.391985,32,32,32,0.4,128,0.0004007248140397072,2,2,COMPLETE
47,0.4835250528248075,2024-06-22 15:12:23.168234,2024-06-22 15:17:24.755951,0 days 00:05:01.587717,32,32,32,0.5,128,0.00015827320167870502,2,3,COMPLETE
48,-0.1605901137357862,2024-06-22 15:17:24.757472,2024-06-22 15:17:41.170912,0 days 00:00:16.413440,256,128,32,0.30000000000000004,32,0.00034540727000249085,2,2,COMPLETE
49,0.40330237318735124,2024-06-22 15:17:41.172274,2024-06-22 15:18:55.232946,0 days 00:01:14.060672,128,32,256,0.4,128,0.0009844131267075294,8,2,COMPLETE
50,0.49241295317866557,2024-06-22 15:18:55.238104,2024-06-22 15:21:43.427247,0 days 00:02:48.189143,32,64,256,0.5,128,2.2167146278013756e-05,4,3,COMPLETE
51,0.3270302187555104,2024-06-22 15:21:43.428660,2024-06-22 15:23:39.143422,0 days 00:01:55.714762,64,64,256,0.5,128,2.2593847572952126e-05,4,3,COMPLETE
52,-0.17578678526471284,2024-06-22 15:23:39.144825,2024-06-22 15:25:36.471591,0 days 00:01:57.326766,32,64,256,0.5,128,0.007247354792457629,4,3,COMPLETE
53,0.31613005153203,2024-06-22 15:25:36.472973,2024-06-22 15:26:05.038677,0 days 00:00:28.565704,128,64,256,0.5,128,0.0012459146821157227,4,3,COMPLETE
54,0.5001096072930212,2024-06-22 15:26:05.040399,2024-06-22 15:34:32.135449,0 days 00:08:27.095050,32,64,256,0.4,128,0.0002650327813292142,4,2,COMPLETE
55,0.501416931219691,2024-06-22 15:34:32.137012,2024-06-22 15:42:22.106711,0 days 00:07:49.969699,32,64,256,0.5,128,0.00025474362816778063,4,2,COMPLETE
56,0.4752751442466217,2024-06-22 15:42:22.108795,2024-06-22 15:49:04.931348,0 days 00:06:42.822553,32,64,256,0.5,128,0.00025590283093220224,4,2,COMPLETE
57,0.4723997553592615,2024-06-22 15:49:04.932784,2024-06-22 15:52:39.263615,0 days 00:03:34.330831,32,64,256,0.30000000000000004,128,0.00044258551217808955,4,2,COMPLETE
58,0.2360089573343808,2024-06-22 15:52:39.264947,2024-06-22 15:56:13.323068,0 days 00:03:34.058121,32,64,256,0.4,32,0.0007195269296319988,4,2,COMPLETE
59,0.49846393241758885,2024-06-22 15:56:13.324465,2024-06-22 16:00:53.559682,0 days 00:04:40.235217,32,128,256,0.4,128,0.00020733293592004135,4,2,COMPLETE
60,0.4410915769006353,2024-06-22 16:00:53.561080,2024-06-22 16:01:42.065776,0 days 00:00:48.504696,64,128,256,0.5,128,0.00017901898048575614,4,2,COMPLETE
