number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_ff_size,params_lr,params_nhead,params_nlayers,state
35,0.8504132293327081,2024-06-18 14:56:36.658472,2024-06-18 14:59:55.222833,0 days 00:03:18.564361,128,128,64,0.1,64,0.002777186872860591,8,4,COMPLETE
36,0.8343974601209723,2024-06-18 14:59:55.224635,2024-06-18 15:01:39.968481,0 days 00:01:44.743846,128,32,64,0.2,64,0.0009571859058992418,8,4,COMPLETE
37,0.09620482719811083,2024-06-18 15:01:39.969939,2024-06-18 15:02:10.120211,0 days 00:00:30.150272,128,128,128,0.1,128,0.00540815911282571,8,4,COMPLETE
38,0.28012712831877595,2024-06-18 15:02:10.121741,2024-06-18 15:02:33.054458,0 days 00:00:22.932717,256,128,64,0.1,64,0.009968528682793965,2,4,COMPLETE
39,0.5461911641988144,2024-06-18 15:02:33.055756,2024-06-18 15:03:57.737031,0 days 00:01:24.681275,64,128,128,0.2,64,0.0018754125257710607,8,4,COMPLETE
40,0.8278414976344538,2024-06-18 15:03:57.738496,2024-06-18 15:05:04.740385,0 days 00:01:07.001889,128,64,256,0.1,128,0.00026662183793634713,4,2,COMPLETE
41,0.5356819300157336,2024-06-18 15:05:04.741974,2024-06-18 15:06:38.788949,0 days 00:01:34.046975,128,32,64,0.4,64,0.00013095616185271062,8,4,COMPLETE
42,0.8189474620569462,2024-06-18 15:06:38.790548,2024-06-18 15:11:34.792883,0 days 00:04:56.002335,64,128,64,0.1,64,4.5685018272649934e-05,2,3,COMPLETE
43,0.5281276927954797,2024-06-18 15:11:34.794805,2024-06-18 15:12:20.820872,0 days 00:00:46.026067,128,64,256,0.2,32,0.0009714000386396379,4,4,COMPLETE
44,0.8583379316095535,2024-06-18 15:12:20.822703,2024-06-18 15:15:39.714896,0 days 00:03:18.892193,128,128,64,0.1,256,0.000518994348732436,8,4,COMPLETE
45,0.8610194981013499,2024-06-18 15:15:39.716301,2024-06-18 15:18:48.624752,0 days 00:03:08.908451,128,128,64,0.1,256,0.0007396538424941674,8,4,COMPLETE
46,0.8509410408793994,2024-06-18 15:18:48.626371,2024-06-18 15:22:08.300398,0 days 00:03:19.674027,128,128,64,0.1,256,0.002614791346884925,8,4,COMPLETE
47,0.8517660929190629,2024-06-18 15:22:08.301752,2024-06-18 15:24:07.520661,0 days 00:01:59.218909,128,128,64,0.1,32,0.0012417119596470942,8,4,COMPLETE
48,0.8596458399234265,2024-06-18 15:24:07.522396,2024-06-18 15:30:30.172153,0 days 00:06:22.649757,64,128,256,0.1,256,0.0006987801801508242,8,4,COMPLETE
49,0.6830513924419506,2024-06-18 15:30:30.173531,2024-06-18 15:36:45.904850,0 days 00:06:15.731319,64,128,64,0.1,256,0.00388028372664585,8,4,COMPLETE
50,0.8087877029985806,2024-06-18 15:36:45.906356,2024-06-18 15:37:55.079842,0 days 00:01:09.173486,64,128,128,0.30000000000000004,256,0.0007546372439717397,8,2,COMPLETE
51,0.5235578486573187,2024-06-18 15:37:55.081056,2024-06-18 15:41:27.055427,0 days 00:03:31.974371,64,128,256,0.1,256,2.2086986648173385e-06,8,4,COMPLETE
52,0.8265991478857369,2024-06-18 15:41:27.056832,2024-06-18 15:43:11.023875,0 days 00:01:43.967043,64,128,64,0.2,256,0.0013162357056075624,8,3,COMPLETE
53,0.8468494770367411,2024-06-18 15:43:11.025411,2024-06-18 15:44:37.232089,0 days 00:01:26.206678,256,128,256,0.1,128,0.00045672717217080927,8,4,COMPLETE
54,0.8626271276173699,2024-06-18 15:44:37.233424,2024-06-18 15:53:33.856337,0 days 00:08:56.622913,32,64,256,0.1,256,0.0002667595076818876,8,4,COMPLETE
55,0.8640893694117049,2024-06-18 15:53:33.857722,2024-06-18 16:02:29.669011,0 days 00:08:55.811289,32,64,256,0.1,256,0.00022037115218488478,8,4,COMPLETE
56,0.8652190463746942,2024-06-18 16:02:29.670590,2024-06-18 16:11:43.143944,0 days 00:09:13.473354,32,64,256,0.1,256,0.00021554574892607235,8,4,COMPLETE
57,0.8638584994164412,2024-06-18 16:11:43.145162,2024-06-18 16:24:01.536304,0 days 00:12:18.391142,32,64,256,0.1,256,0.00023278424806360756,8,4,COMPLETE
58,0.8556844718670442,2024-06-18 16:24:01.537678,2024-06-18 16:36:00.577197,0 days 00:11:59.039519,32,64,256,0.2,256,0.00010329917302511469,8,4,COMPLETE
59,0.8658994945196516,2024-06-18 16:36:00.578592,2024-06-18 16:47:08.945492,0 days 00:11:08.366900,32,64,256,0.1,256,0.00022608082630393996,8,4,COMPLETE
60,0.8596973214171159,2024-06-18 16:47:08.946880,2024-06-18 16:53:21.013673,0 days 00:06:12.066793,32,64,256,0.1,256,0.0002262571336955031,8,4,COMPLETE
