number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_lr,params_nhead,params_nlayers,state
35,-0.06740166085074975,2024-06-11 01:07:20.718391,2024-06-11 01:09:48.550356,0 days 00:02:27.831965,64,32,64,0.2,5.732220029006974e-06,8,4,COMPLETE
36,0.4889645759641892,2024-06-11 01:09:48.551652,2024-06-11 01:11:25.039479,0 days 00:01:36.487827,64,32,256,0.30000000000000004,4.1275173086949355e-05,8,4,COMPLETE
37,0.22599051739076267,2024-06-11 01:11:25.040848,2024-06-11 01:13:42.579166,0 days 00:02:17.538318,64,256,64,0.2,2.3230199321639067e-06,8,4,COMPLETE
38,,2024-06-11 01:13:42.580575,2024-06-11 01:19:08.231488,0 days 00:05:25.650913,64,128,128,0.30000000000000004,0.009418492622045064,4,4,FAIL
39,0.2902936465870489,2024-06-11 01:19:08.232725,2024-06-11 01:20:21.710772,0 days 00:01:13.478047,64,128,128,0.30000000000000004,3.134590245872067e-06,4,4,COMPLETE
40,-0.44412519355746305,2024-06-11 01:20:21.712077,2024-06-11 01:24:31.362944,0 days 00:04:09.650867,64,32,64,0.2,1.7598740730069814e-06,8,2,COMPLETE
41,0.4609837330797334,2024-06-11 01:24:31.364380,2024-06-11 01:25:11.400570,0 days 00:00:40.036190,64,32,256,0.1,3.5341643867325585e-05,2,2,COMPLETE
42,0.33652732228678217,2024-06-11 01:25:11.402083,2024-06-11 01:27:17.440990,0 days 00:02:06.038907,64,256,64,0.2,7.21784733424088e-05,4,2,COMPLETE
43,0.16185204319765795,2024-06-11 01:27:17.442208,2024-06-11 01:28:49.120537,0 days 00:01:31.678329,64,128,32,0.2,5.494264469838776e-06,8,2,COMPLETE
44,-0.2841253142557917,2024-06-11 01:28:49.121799,2024-06-11 01:31:48.929576,0 days 00:02:59.807777,128,32,64,0.30000000000000004,1.7533839541911567e-06,8,3,COMPLETE
45,-0.3081750934977073,2024-06-11 01:31:48.931192,2024-06-11 01:34:46.221143,0 days 00:02:57.289951,128,32,64,0.4,1.827277288464336e-06,8,3,COMPLETE
46,-0.25855058433654465,2024-06-11 01:34:46.222733,2024-06-11 01:37:08.445091,0 days 00:02:22.222358,128,32,64,0.5,2.7588355890707154e-06,8,2,COMPLETE
47,0.39481983831793804,2024-06-11 01:37:08.446695,2024-06-11 01:40:08.830858,0 days 00:03:00.384163,128,32,64,0.4,1.0497265551233794e-06,8,3,COMPLETE
48,0.3944635985812949,2024-06-11 01:40:08.832720,2024-06-11 01:40:56.803658,0 days 00:00:47.970938,128,32,64,0.4,1.528311517188072e-05,8,3,COMPLETE
49,0.3783300313233938,2024-06-11 01:40:56.805241,2024-06-11 01:42:41.680517,0 days 00:01:44.875276,64,64,64,0.5,2.0485842138034726e-06,8,2,COMPLETE
50,,2024-06-11 01:42:41.682095,2024-06-11 01:44:19.740815,0 days 00:01:38.058720,64,32,128,0.4,0.008099884672409744,4,2,FAIL
51,0.48721443445389906,2024-06-11 01:44:19.742124,2024-06-11 01:45:06.316876,0 days 00:00:46.574752,64,32,128,0.4,0.00015302915794404437,4,2,COMPLETE
52,0.2509552563452627,2024-06-11 01:45:06.318406,2024-06-11 01:47:02.304516,0 days 00:01:55.986110,128,32,64,0.4,4.143132750956643e-06,8,3,COMPLETE
53,0.25829713940370447,2024-06-11 01:47:02.306164,2024-06-11 01:49:28.633147,0 days 00:02:26.326983,64,256,256,0.5,0.0009453506422796102,2,3,COMPLETE
54,0.09374458515185144,2024-06-11 01:49:28.634562,2024-06-11 01:51:09.818816,0 days 00:01:41.184254,256,32,32,0.1,5.90661668873416e-06,8,3,COMPLETE
55,0.06420016506623015,2024-06-11 01:51:09.820027,2024-06-11 01:54:08.167988,0 days 00:02:58.347961,128,32,64,0.30000000000000004,1.5105512324329845e-06,8,3,COMPLETE
56,-0.04380416616622092,2024-06-11 01:54:08.169553,2024-06-11 01:57:06.331749,0 days 00:02:58.162196,128,32,64,0.30000000000000004,1.6745577580241602e-06,8,3,COMPLETE
