number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_ff_size,params_lr,params_nhead,params_nlayers,state
35,0.8215750876476596,2024-06-22 14:55:05.613789,2024-06-22 15:04:57.755569,0 days 00:09:52.141780,32,128,256,0.1,32,1.3486105601108791e-05,2,4,COMPLETE
36,0.8648755527285886,2024-06-22 15:04:57.756984,2024-06-22 15:17:37.735677,0 days 00:12:39.978693,32,128,256,0.1,32,6.72600665606788e-05,2,4,COMPLETE
37,0.7054098472083319,2024-06-22 15:17:37.737106,2024-06-22 15:30:19.783277,0 days 00:12:42.046171,32,128,256,0.2,32,5.7874216884572036e-06,2,4,COMPLETE
38,0.8557653412522251,2024-06-22 15:30:19.784642,2024-06-22 15:42:57.586566,0 days 00:12:37.801924,32,128,256,0.1,32,6.776100183444728e-05,2,4,COMPLETE
39,0.6208344122334709,2024-06-22 15:42:57.588370,2024-06-22 15:45:49.735515,0 days 00:02:52.147145,32,64,256,0.4,32,6.004176472467349e-05,2,4,COMPLETE
40,0.520282540499441,2024-06-22 15:45:49.736871,2024-06-22 15:50:54.663741,0 days 00:05:04.926870,32,128,256,0.5,256,1.577274239437511e-05,2,4,COMPLETE
41,0.8273538725366502,2024-06-22 15:50:54.665272,2024-06-22 16:02:22.295325,0 days 00:11:27.630053,32,128,256,0.2,32,3.079448783194627e-05,2,4,COMPLETE
42,0.8596061376065478,2024-06-22 16:02:22.296675,2024-06-22 16:11:35.763370,0 days 00:09:13.466695,32,128,256,0.1,32,7.091442560775163e-05,2,4,COMPLETE
43,0.7963740211481388,2024-06-22 16:11:35.764766,2024-06-22 16:17:17.364389,0 days 00:05:41.599623,32,64,256,0.2,32,0.00027841832254000334,2,4,COMPLETE
44,0.8590467315392871,2024-06-22 16:17:17.365767,2024-06-22 16:29:55.791657,0 days 00:12:38.425890,32,128,256,0.1,32,6.729851830985743e-05,2,4,COMPLETE
45,0.8491447103309706,2024-06-22 16:29:55.793030,2024-06-22 16:40:07.687306,0 days 00:10:11.894276,32,128,256,0.1,32,8.504369570431404e-05,2,4,COMPLETE
46,0.8362734351044547,2024-06-22 16:40:07.688698,2024-06-22 16:48:03.479430,0 days 00:07:55.790732,32,128,256,0.1,256,2.6955806367047403e-05,2,4,COMPLETE
47,0.8166674278699961,2024-06-22 16:48:03.480819,2024-06-22 16:49:15.493771,0 days 00:01:12.012952,256,128,256,0.1,32,4.688766222313912e-05,2,4,COMPLETE
48,0.5291952255116761,2024-06-22 16:49:15.495202,2024-06-22 16:51:48.163181,0 days 00:02:32.667979,32,128,256,0.1,128,0.0004281838335011483,2,4,COMPLETE
49,0.7802126173189591,2024-06-22 16:51:48.164587,2024-06-22 17:04:28.711258,0 days 00:12:40.546671,32,128,256,0.2,32,8.56498143344879e-06,2,4,COMPLETE
50,0.8264537981041644,2024-06-22 17:04:28.712849,2024-06-22 17:10:28.167559,0 days 00:05:59.454710,32,64,32,0.1,32,0.00024840396382898425,2,4,COMPLETE
51,0.5295769593513541,2024-06-22 17:10:28.169013,2024-06-22 17:11:43.723778,0 days 00:01:15.554765,256,128,256,0.4,128,2.0752318994622753e-05,2,3,COMPLETE
52,0.8212898478623959,2024-06-22 17:11:43.725144,2024-06-22 17:17:05.399404,0 days 00:05:21.674260,32,256,256,0.30000000000000004,256,9.813299874042946e-05,2,4,COMPLETE
53,0.8521582404411565,2024-06-22 17:17:05.400810,2024-06-22 17:25:42.057072,0 days 00:08:36.656262,32,128,64,0.1,32,0.0006316095634000848,2,3,COMPLETE
54,0.8566773851183693,2024-06-22 17:25:42.058753,2024-06-22 17:37:28.382607,0 days 00:11:46.323854,32,128,256,0.1,32,6.194016443815564e-05,2,4,COMPLETE
55,0.8539401643676536,2024-06-22 17:37:28.383977,2024-06-22 17:48:14.271517,0 days 00:10:45.887540,32,128,256,0.1,32,5.008009573227798e-05,2,4,COMPLETE
56,0.8402230884777864,2024-06-22 17:48:14.272931,2024-06-22 17:58:23.491053,0 days 00:10:09.218122,32,128,256,0.2,32,8.352127914872573e-05,2,4,COMPLETE
57,0.8244070875618134,2024-06-22 17:58:23.492447,2024-06-22 18:03:28.344450,0 days 00:05:04.852003,32,128,256,0.1,32,2.118442534047596e-05,2,4,COMPLETE
58,0.8597172827605777,2024-06-22 18:03:28.345788,2024-06-22 18:15:18.171330,0 days 00:11:49.825542,32,128,256,0.1,32,0.00021183773040663414,2,4,COMPLETE
59,0.858512670431482,2024-06-22 18:15:18.172746,2024-06-22 18:24:17.975500,0 days 00:08:59.802754,32,256,256,0.1,32,0.0002093898408486399,2,3,COMPLETE
60,0.8480081113662962,2024-06-22 18:24:17.977284,2024-06-22 18:30:47.180123,0 days 00:06:29.202839,64,128,32,0.1,128,0.00039607115030027956,2,4,COMPLETE
61,0.8201337738593439,2024-06-22 18:30:47.181898,2024-06-22 18:31:55.791844,0 days 00:01:08.609946,256,64,256,0.2,32,9.134195011391664e-05,8,4,COMPLETE
62,0.8495879738290507,2024-06-22 18:31:55.793466,2024-06-22 18:40:11.805221,0 days 00:08:16.011755,32,128,256,0.1,32,3.615398410404572e-05,2,4,COMPLETE
63,0.8469078065488163,2024-06-22 18:40:11.806540,2024-06-22 18:49:19.531496,0 days 00:09:07.724956,32,128,64,0.1,256,0.001026629368800259,2,3,COMPLETE
64,0.8577617901419151,2024-06-22 18:49:19.532818,2024-06-22 18:57:11.195475,0 days 00:07:51.662657,32,256,256,0.1,32,0.00020021272810245416,2,3,COMPLETE
65,0.8609073783829506,2024-06-22 18:57:11.196937,2024-06-22 19:06:47.442557,0 days 00:09:36.245620,32,256,256,0.1,32,0.00020856685026955846,2,3,COMPLETE
