number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_lr,params_nhead,params_nlayers,state
35,0.8392293354690137,2024-06-11 13:03:11.598804,2024-06-11 13:05:18.554210,0 days 00:02:06.955406,128,256,256,0.1,0.0012984852045188362,4,2,COMPLETE
36,0.4667820810523391,2024-06-11 13:05:18.555426,2024-06-11 13:07:22.311920,0 days 00:02:03.756494,32,128,256,0.2,0.0005560157968777571,4,3,COMPLETE
37,0.5038324099363559,2024-06-11 13:07:22.313336,2024-06-11 13:09:05.800164,0 days 00:01:43.486828,128,128,32,0.30000000000000004,2.8865330051524565e-05,4,2,COMPLETE
38,0.8457794025235669,2024-06-11 13:09:05.801701,2024-06-11 13:11:59.028921,0 days 00:02:53.227220,128,128,128,0.1,0.0014838197157940542,4,3,COMPLETE
39,0.4933873334420292,2024-06-11 13:11:59.030720,2024-06-11 13:14:57.436103,0 days 00:02:58.405383,32,256,256,0.30000000000000004,0.0004278604796753228,4,4,COMPLETE
40,0.8317583576345328,2024-06-11 13:14:57.437359,2024-06-11 13:16:58.373499,0 days 00:02:00.936140,128,128,256,0.1,7.071681551485823e-05,4,3,COMPLETE
41,0.8561799381689695,2024-06-11 13:16:58.377802,2024-06-11 13:20:11.169919,0 days 00:03:12.792117,128,128,256,0.1,0.00019226999618072524,4,3,COMPLETE
42,0.8511545928695708,2024-06-11 13:20:11.171583,2024-06-11 13:22:12.513865,0 days 00:02:01.342282,128,128,256,0.1,0.00015174188455617732,4,3,COMPLETE
43,0.8427306155170581,2024-06-11 13:22:12.515900,2024-06-11 13:24:50.432946,0 days 00:02:37.917046,128,128,256,0.1,0.0008664865734875317,4,3,COMPLETE
44,0.8279083860241385,2024-06-11 13:24:50.434624,2024-06-11 13:26:28.636833,0 days 00:01:38.202209,128,128,256,0.2,0.00011761291094929153,4,3,COMPLETE
45,0.8456376512396399,2024-06-11 13:26:28.638444,2024-06-11 13:27:57.658733,0 days 00:01:29.020289,128,128,128,0.1,0.0001974536826956258,8,3,COMPLETE
46,0.8352952049684701,2024-06-11 13:27:57.660490,2024-06-11 13:31:24.856587,0 days 00:03:27.196097,64,32,256,0.1,0.00041491734199773845,4,3,COMPLETE
47,0.779861431005183,2024-06-11 13:31:24.858060,2024-06-11 13:34:22.694722,0 days 00:02:57.836662,128,128,32,0.1,7.151909841183469e-05,8,3,COMPLETE
48,0.8113707848422854,2024-06-11 13:34:22.696392,2024-06-11 13:35:55.191918,0 days 00:01:32.495526,128,64,256,0.2,0.0007696299796589608,8,3,COMPLETE
49,0.5157417108659312,2024-06-11 13:35:55.193270,2024-06-11 13:37:31.600020,0 days 00:01:36.406750,32,256,256,0.5,3.411430805888092e-05,4,3,COMPLETE
50,0.4889144369464817,2024-06-11 13:37:31.601420,2024-06-11 13:38:17.138145,0 days 00:00:45.536725,128,128,256,0.2,0.0016982571440038866,8,3,COMPLETE
